,mean_abs_shap
contrast__shock__crest__mean,9.047816122689873e-05
contrast__vib__wlabs1__std,9.014927062542556e-05
other__shock__shape__mean,9.009379001506124e-05
self__vib__sp_spread_hz__max,8.98883864568886e-05
other__vib__sp_flatness__median,8.967893763183572e-05
contrast__shock__wlfrac0__std,8.959042541280585e-05
contrast__vib__wlabs0__std,8.927871701440309e-05
other__vib__sp_entropy__std,8.921440373734522e-05
self__shock__sp_rolloff95_hz__mean,8.914102098157437e-05
self__vib__sp_flatness__max,8.906850705844842e-05
contrast__vib__wl_peak_m__mean,8.901415825202178e-05
contrast__shock__wl_centroid_m__median,8.82355557164833e-05
contrast__shock__wlfrac4__mean,8.774003086072627e-05
self__vib__sp_centroid_hz__p90,8.746055654193745e-05
self__shock__sp_entropy__std,8.723630334491659e-05
contrast__shock__crest__max,8.705527458513734e-05
contrast__vib__impulse__mean,8.65765709802518e-05
self__vib__sp_centroid_hz__mean,8.644400581614223e-05
self__shock__sp_spread_hz__max,8.481250650763794e-05
contrast__vib__wlfrac3__max,8.455476733548002e-05
self__shock__kurtosis__mean,8.448935634477426e-05
self__shock__wlfrac1__p90,8.444914074830822e-05
other__vib__crest__max,8.425431471071983e-05
contrast__vib__wlabs4__std,8.271948144856337e-05
contrast__vib__wlabs0__p90,8.218722380108837e-05
self__shock__sp_centroid_hz__std,8.21701408640223e-05
contrast__shock__wl_entropy__std,8.129901923532932e-05
self__shock__clearance__median,8.129034792455854e-05
contrast__vib__clearance__p90,8.040933513798164e-05
other__vib__sp_flatness__mean,8.005872069642964e-05
contrast__vib__skewness__mean,7.987990831301805e-05
contrast__shock__skewness__std,7.911928597541587e-05
contrast__vib__wl_flatness__max,7.895009340025654e-05
self__vib__wlfrac2__median,7.890463641892886e-05
self__shock__sp_spread_hz__std,7.829309851821961e-05
self__vib__wlfrac0__median,7.828068440260524e-05
self__shock__skewness__max,7.766352049342639e-05
self__vib__wlfrac2__p90,7.685661829828351e-05
contrast__vib__wlfrac0__p90,7.655911866999796e-05
contrast__vib__p2p__median,7.626752394429217e-05
self__shock__impulse__median,7.586918176122345e-05
contrast__shock__wlfrac2__median,7.545622082150209e-05
contrast__shock__clearance__mean,7.4787473905826e-05
contrast__shock__wlabs1__std,7.398226163652874e-05
other__vib__wl_peak_m__median,7.347967513428897e-05
self__vib__sp_spread_hz__std,7.307337131795041e-05
contrast__vib__wl_entropy__p90,7.210507905209046e-05
other__shock__wlfrac0__p90,7.170524270770718e-05
other__shock__impulse__mean,7.143835306664108e-05
contrast__shock__wl_peak_m__std,7.071112695950425e-05
contrast__vib__wlfrac2__p90,7.049162872849791e-05
contrast__shock__wlfrac0__max,7.049067993768524e-05
other__shock__clearance__std,6.861811427917854e-05
self__vib__sp_rolloff95_hz__p90,6.788266704995077e-05
contrast__vib__sp_centroid_hz__mean,6.77193476610178e-05
self__shock__sp_rolloff95_hz__std,6.749763192945719e-05
self__vib__wl_entropy__max,6.681406550708999e-05
other__shock__wlfrac4__mean,6.634652552765447e-05
contrast__shock__sp_rolloff95_hz__median,6.6332124192093e-05
contrast__vib__crest__std,6.618602648011367e-05
other__vib__sp_centroid_hz__mean,6.61751919652332e-05
self__shock__sp_spread_hz__mean,6.588930155286859e-05
self__shock__clearance__max,6.559540513050804e-05
other__shock__wlfrac0__max,6.427354023862647e-05
self__vib__kurtosis__median,6.415365620807003e-05
contrast__shock__clearance__max,6.409382093312103e-05
self__vib__sp_rolloff95_hz__std,6.346888841280701e-05
self__vib__sp_flatness__std,6.326594385406007e-05
contrast__vib__shape__std,6.299690611721135e-05
self__vib__wlfrac0__mean,6.289926910317198e-05
contrast__vib__impulse__std,6.117136332438632e-05
contrast__shock__impulse__max,6.080763304295902e-05
contrast__vib__sp_rolloff95_hz__p90,6.062096966710312e-05
self__shock__sp_centroid_hz__max,6.0084664836185924e-05
self__shock__sp_flatness__max,6.008130764227339e-05
contrast__shock__wlfrac4__max,6.0008595776963366e-05
self__shock__sp_flatness__std,5.9034470735766784e-05
self__vib__sp_spread_hz__mean,5.8948933455346655e-05
other__shock__impulse__max,5.8637625818461304e-05
contrast__vib__wlabs3__median,5.673423019842473e-05
contrast__vib__wlfrac2__std,5.6218278730359495e-05
self__shock__zcr__max,5.502871378610954e-05
contrast__shock__impulse__p90,5.44506922393776e-05
other__shock__wlfrac0__mean,5.411644973314414e-05
contrast__vib__wlfrac4__mean,5.376932236099802e-05
contrast__shock__wlfrac1__p90,5.1784825875955546e-05
contrast__shock__wl_flatness__mean,5.1518850124557085e-05
contrast__vib__sp_rolloff95_hz__median,5.1135809624219044e-05
contrast__vib__kurtosis__mean,5.001617965512852e-05
self__shock__wlfrac0__max,4.988357072868403e-05
other__shock__impulse__std,4.975733268643548e-05
self__vib__skewness__mean,4.9654188011673303e-05
contrast__vib__kurtosis__std,4.739401827770286e-05
other__shock__wl_centroid_m__mean,4.660413371502955e-05
contrast__shock__shape__std,4.504023902801923e-05
contrast__shock__impulse__mean,4.349462839637589e-05
contrast__vib__skewness__p90,4.3431209261186915e-05
other__vib__wlfrac0__max,4.3140698177160214e-05
contrast__shock__wlabs4__median,4.243983742432523e-05
contrast__shock__wl_flatness__std,4.233972326300886e-05
self__vib__wlfrac0__p90,4.179913489079473e-05
self__shock__clearance__std,4.171802054317696e-05
self__shock__shape__std,3.9134239116237304e-05
other__shock__sp_flatness__p90,3.9076739869163104e-05
self__shock__wlfrac4__mean,3.8801172001984965e-05
contrast__shock__shape__max,3.8771399310087165e-05
contrast__shock__wlfrac3__median,3.684068410943158e-05
contrast__shock__wl_centroid_m__mean,3.665675939234688e-05
self__vib__wlfrac0__std,3.636076595283961e-05
self__shock__clearance__mean,3.580852227094934e-05
contrast__vib__wl_flatness__p90,3.4460590142037924e-05
self__shock__wl_flatness__std,3.438740015039894e-05
other__shock__wl_entropy__std,3.142616899537785e-05
other__vib__sp_centroid_hz__std,3.020065491278057e-05
contrast__vib__kurtosis__p90,2.9955571380919582e-05
self__shock__sp_rolloff95_hz__max,2.9858644052122792e-05
contrast__vib__impulse__p90,2.9461445487944905e-05
other__shock__wl_peak_m__median,2.934387592177717e-05
contrast__shock__clearance__std,2.762442643192137e-05
contrast__vib__wl_centroid_m__max,2.7364269966179017e-05
self__shock__shape__p90,2.7054080051068488e-05
contrast__shock__wl_peak_m__max,2.7031483343578495e-05
self__shock__clearance__p90,2.629054971277293e-05
contrast__shock__wlfrac0__median,2.566756341682547e-05
contrast__shock__clearance__p90,2.3949950001341174e-05
self__vib__sp_centroid_hz__max,2.2220534156641455e-05
self__vib__sp_rolloff95_hz__mean,2.0882102944716564e-05
contrast__shock__sp_centroid_hz__max,1.993387146823277e-05
contrast__shock__wlfrac4__std,1.983339359841634e-05
self__vib__sp_rolloff95_hz__max,1.9719972308405548e-05
contrast__vib__wlabs1__median,1.8222452868175184e-05
other__vib__wl_peak_m__max,1.807371644935689e-05
other__shock__sp_flatness__mean,1.7177026504881526e-05
contrast__shock__impulse__std,1.555198305247237e-05
contrast__vib__wlfrac4__std,1.329342693188042e-05
contrast__vib__shape__max,1.3172850885470703e-05
self__shock__skewness__mean,1.0936532602500731e-05
contrast__shock__wlabs1__p90,1.0795818339154035e-05
other__shock__sp_rolloff95_hz__median,8.543051060327862e-06
self__vib__wl_peak_m__median,6.655111768378597e-06
contrast__shock__shape__p90,3.0800105665869677e-06
self__shock__wl_peak_m__median,2.4989023022110937e-06
self__vib__wl_peak_m__max,8.805037919810753e-07
contrast__shock__wl_peak_m__median,6.480690214653213e-07
other__shock__wl_peak_m__p90,8.495215617059236e-21
contrast__shock__wl_peak_m__p90,0.0
other__vib__wl_peak_m__p90,0.0
contrast__vib__wl_peak_m__p90,0.0
contrast__vib__wl_peak_m__max,0.0
is_stationary,0.0
