,mean_abs_shap
contrast__shock__p2p__max,0.0008913554569066861
contrast__vib__wl_entropy__mean,0.0008885199036659623
self__shock__wlfrac2__median,0.0008875456641022219
contrast__vib__wlfrac1__p90,0.0008780441048915726
contrast__vib__wlfrac1__std,0.0008737463040951719
other__vib__crest__std,0.0008715342509713181
contrast__vib__zcr__max,0.0008652984177957098
contrast__shock__crest__p90,0.000858571624801015
contrast__shock__rms__max,0.0008562159663943874
contrast__vib__wl_entropy__max,0.0008526217853582845
self__vib__wl_flatness__p90,0.0008401441363918915
contrast__shock__peak__p90,0.0008381321914904668
self__shock__wlfrac2__std,0.0008273500509946966
contrast__shock__clearance__median,0.0008215361017211517
self__shock__wlfrac2__max,0.0008167911251291174
self__vib__wlfrac3__std,0.0007996190363787038
contrast__shock__peak__max,0.0007991164651576067
self__shock__wl_flatness__p90,0.0007989169963576355
other__vib__wl_centroid_m__std,0.0007914386549128793
other__vib__clearance__p90,0.0007893037892036791
self__vib__shape__max,0.0007708805018692068
self__vib__wlfrac1__max,0.0007693563074800001
contrast__vib__wlfrac0__max,0.0007678036766351235
self__vib__crest__std,0.0007643281490550227
self__vib__wlfrac1__std,0.0007527302629787999
contrast__shock__wlabs2__median,0.0007486074976305819
contrast__vib__peak__mean,0.0007361608965065332
other__shock__wl_entropy__max,0.0007320704053758817
other__shock__wl_peak_m__std,0.0007307892739268385
self__shock__crest__std,0.0007177920945009464
contrast__shock__zcr__max,0.0007175184105201588
self__vib__kurtosis__max,0.0007060552766539187
self__shock__sp_entropy__p90,0.0007057910275776323
self__vib__wl_entropy__mean,0.0006947389317541392
contrast__shock__p2p__p90,0.0006907674623100241
contrast__shock__sp_flatness__p90,0.0006819153572004679
self__shock__wlfrac3__p90,0.0006737564493756396
other__vib__impulse__std,0.0006571140536228747
other__vib__clearance__std,0.0006521794876410231
other__shock__sp_flatness__std,0.0006497888762619736
contrast__vib__p2p__mean,0.0006444763377007242
other__shock__wlfrac2__p90,0.0006399861311103275
contrast__vib__skewness__max,0.0006388792393968872
other__shock__sp_spread_hz__max,0.0006305226756735252
other__shock__wl_flatness__max,0.0006304091034636557
self__shock__wl_peak_m__std,0.0006263290057142818
contrast__shock__wlfrac3__std,0.0006167704961562753
other__shock__sp_entropy__p90,0.0006153335946898244
